Gene,MIP56_Myo_DS
Creb5,0.012859663765779
Ppp1r1b,0.0127722934239603
Sdc3,0.0125312700811902
Nrap,0.0123886112308625
Hes1,0.0122574895565215
Brinp2,0.0122502665638876
Tmem229b,0.0122478998013011
Pcsk6,0.0122188907754238
Cys1,0.0122098774483851
Wnt11,0.012176517028466
Otud7b,0.0120827017175193
Nr5a1,0.0119229920061914
Nfasc,0.0119167317238764
Fam120b,0.0118973365381513
Dact3,0.0117676748825575
Kalrn,0.0116654964557133
Adra1a,0.0116564570503708
Plxna2,0.011633122405411
Asb18,0.0116295428349114
Dab2ip,0.0116177353837958
Fam163b,0.0116034026721006
Begain,0.0114138398658709
Pank4,0.0114032067995519
Dll1,0.0113380217334337
Adcyap1r1,0.0112988670464035
Pdzd2,0.0112558254915299
Fam83h,0.0112205084255128
Ptprs,0.0111802091093903
Foxp4,0.0111543973283318
Cited1,0.0111404825236108
Cxcr4,0.0110098035775712
Klf14,0.0109525569099624
Ring1,0.0108397416070703
Col1a1,0.0108235761064868
Dip2c,0.0107826161584568
Celf2,0.0107127635301978
Hr,0.0106453903535571
Mctp1,0.0106120282012223
Lpl,0.0106045685762449
Ubxn10,0.0105832983142641
Tspan18,0.0105771013195936
Lmo1,0.010562938320157
Grik4,0.0105556746336592
Barhl1,0.0105427432487781
Mfng,0.0104726222959944
Slc12a7,0.0103955592151333
Ptgis,0.0102705898058081
Scube3,0.010261875744299
Sez6,0.0102451359297976
Ube2ql1,0.0101769121268579
Polg,0.0100834445358652
Lifr,0.0100412294058711
Mmel1,0.00999110253035084
Lhx4,0.00986929386479768
Ppp1r1a,0.0098461543032259
Mdfi,0.00980716511059235
Pvalb,0.00978663709409354
Slit3,0.0096816556592503
Pgbd5,0.00963750541031553
Apc2,0.00959937919892979
Pcdhga12,0.00954986296448282
Dpf3,0.00951813951203988
Nckap1,0.0094983377681214
Kcnn3,0.00949523468972051
Slfn8,0.00948382694427341
Pla2g4e,0.00944766149563418
Col2a1,0.00944661357892649
Rsrc1,0.00943093235848376
Igfbp5,0.00939652529846989
Idua,0.00939210883629769
Zfhx4,0.0093491016044663
Sardh,0.00933461005765882
Cfap74,0.00927945623135588
Adra1d,0.00926882270569805
Lrrc15,0.00917361224792174
Rbm10,0.00914526013444709
Fbxl8,0.00911867377404231
Rai1,0.00905674386857165
Tmem171,0.00903499014803639
Cadm3,0.00900828693796608
Pde1c,0.00891839693360128
Edar,0.00891610161474315
Lmna,0.0088863553526123
Bcl9,0.0088673178190842
Lamc3,0.00886510520971367
Skida1,0.00880320991572313
Neo1,0.00880050618336129
Rtbdn,0.00875695156300708
Fndc1,0.00873873450310192
Btbd11,0.0087330069964918
Cabp7,0.00868188989492471
Ttbk1,0.00868061772887504
Fzd2,0.00859992198108338
Gpatch2l,0.00844585181849111
Pou2f3,0.00843689661431749
Rgs6,0.00843365515003621
Trpc3,0.00835668188281079
Pbk,0.0083269437139706
Hs3st3b1,0.00832162311694864
Fgf9,0.00832038005531268
Bean1,0.00830880015888824
Spsb4,0.00827018582281789
Adgrb1,0.00823993206174625
Agrn,0.00822373069367595
Nfam1,0.00820441101027905
Ccdc8,0.00819641077033953
Nuak1,0.00813123830316077
Mmp25,0.00812425485114051
Cyth4,0.00801965371058943
Lgi2,0.00801387294586088
Cttn,0.00799329019827173
Kdelr3,0.00797679030272168
Tbr1,0.00794853848986239
Crispld2,0.00792519224205442
Igf1r,0.0078940882788064
Mlxipl,0.00784915784499539
Cyp46a1,0.00783600628672158
Kcnj10,0.00777082945457662
Ecel1,0.00775919946663704
Myo7a,0.00772154630449358
Sox6,0.00771484617419572
Wnt9b,0.00769265186062695
Atp8a2,0.00766909323982195
Tlx1,0.00743582583721408
Ntsr2,0.00743143348175084
Dnah2,0.00736861180270579
Gp1bb,0.00733212991128086
Gfi1b,0.00727476905017033
Hoxb5,0.00727155154311369
Foxl1,0.00726632523755059
Pcdhga11,0.00725781971941863
Agap1,0.00723518253469376
Lin28b,0.00720628636943678
Prkcg,0.00718934829260419
Ifnlr1,0.00716904597623745
Ankrd63,0.00714987862510464
Abcg1,0.00714497266357195
Gabbr2,0.0071268203147694
Nefl,0.00709877665544083
Adcy1,0.0070262989937031
Lims2,0.00701788943845429
Acsl1,0.00700782779662007
Fgfr3,0.00699519682278955
Pcdh8,0.00698405590453156
Sybu,0.00697687912318923
Ass1,0.00692940951035301
Krt222,0.00687218440274354
Paqr9,0.00682867168688944
Mtus2,0.00680024544417808
