,0,TF
5958|RARG,0.0013585466239608476,RARG
41323|CTR9,0.0013642702341493998,CTR9
34108|H1F0,0.0015466818971931393,H1F0
47742|HNF4A,0.0015485698664539868,HNF4A
4509|RAP1A,0.0016908187397156702,RAP1A
48861|TAF3,0.0017235849419821971,TAF3
43321|THRB,0.0017558355834801321,THRB
2855|KDM2A,0.001974498658058075,KDM2A
4535|SIRT1,0.001992229726983889,SIRT1
44215|NCOA2,0.0020443452933534513,NCOA2
53380|TOP2B,0.0022723826134423007,TOP2B
47349|REST,0.0024251453329862285,REST
47780|GRHL3,0.0024397735133182092,GRHL3
5412|NOTCH1,0.0025848698061245474,NOTCH1
55790|CTCFL,0.00261131179012839,CTCFL
41854|POU3F2,0.0028209577887171877,POU3F2
449|SMAD2,0.002843653894753616,SMAD2
43112|PRDM5,0.0033623580366334343,PRDM5
3228|ELL2,0.0036242749356153177,ELL2
59041|DDX5,0.0037824849357901355,DDX5
39343|KLF1,0.003896118511271367,KLF1
55620|POU3F1,0.004127993160407239,POU3F1
47291|FEZF2,0.004142709820294747,FEZF2
57844|DICER1,0.004279467400813237,DICER1
52732|RAD23B,0.004419344610609516,RAD23B
52795|FGFR1,0.004423584670596045,FGFR1
38461|ELF1,0.004561634369787352,ELF1
54378|BCL3,0.004703730068628681,BCL3
44780|NCOR1,0.004901053914124429,NCOR1
35807|KDM6A,0.005690495015144082,KDM6A
58293|NRF1,0.006946028145686158,NRF1
408|ESRRB,0.0070017062777501735,ESRRB
36912|NFIB,0.0070092985239111495,NFIB
8309|SMAD1,0.007557997444922914,SMAD1
38068|CBX3,0.008556846821525833,CBX3
56408|TGIF2,0.009123820397249694,TGIF2
50494|CTNNB1,0.009330127600249044,CTNNB1
53676|DMRT1,0.01008999873607189,DMRT1
53760|MYO1C,0.01054153073941169,MYO1C
39309|CAPG,0.010557919528396012,CAPG
5471|IKZF3,0.010776698142202387,IKZF3
433|TFCP2,0.011231802206023185,TFCP2
52904|MED23,0.011344790841448517,MED23
33730|NKX2-1,0.01150105338072872,NKX2-1
41643|POLR3G,0.012039376107993589,POLR3G
5978|OLIG2,0.012077125000371202,OLIG2
47756|SP1,0.012492542961813232,SP1
47611|MCRS1,0.012698347574641791,MCRS1
51118|DNMT3A,0.014052883275849156,DNMT3A
44161|ELK1,0.014378163748227618,ELK1
36769|ZNF143,0.014389476216400429,ZNF143
51326|ZIC1/2,0.015035295126925618,ZIC1/2
41867|TCF4,0.01620309137786397,TCF4
8646|DMC1,0.016249514704223818,DMC1
41582|AR,0.016272672064850262,AR
51887|PRDM16,0.01710932870316124,PRDM16
52870|MBD2,0.017499452519535347,MBD2
50930|RB1,0.017597881472892325,RB1
41198|USP16,0.018753893006194858,USP16
9160|NKX3-1,0.02013894667368569,NKX3-1
58545|SMAD1/5,0.020237409068770567,SMAD1/5
