gene_symbol,MIP56_Myo_1,MIP56_Myo_2,MIP56_Myo_3,MIP56_Myo_4,DS_value,p_value
Kcnq1,0.229483732342986,0.213361771509152,0.202301797208988,0.224933062735967,0.217520090949273,0.00881057268722463
Dmtn,0.233067077051285,0.174543477055812,0.189628268889212,0.227208824159726,0.206111911789009,0.00881057268722463
Rxrg,0.200029222150894,0.203031691617266,0.169744815266601,0.191772586453774,0.191144578872134,0.00881057268722463
Egflam,0.115432913021234,0.149659608162729,0.131566191118674,0.114367149753106,0.127756465513936,0.00881057268722463
Prrx1,0.100449506163548,0.102427428774128,0.123959054524213,0.117852346705977,0.111172084041967,0.00881057268722463
Bhlhe41,0.0905480039176158,0.0763352556051238,0.106884129852384,0.0980997600024625,0.0929667873443964,0.00881057268722463
Qsox2,0.0902842239709084,0.0892099398074251,0.0907302275390017,0.0934552099553351,0.0909199003181676,0.00881057268722463
Mcf2l,0.066650167130128,0.0779063289396579,0.0737035028450009,0.0739243330734215,0.0730460829970521,0.00881057268722463
A530016L24Rik,0.167038296327548,0.186719694828631,0.145886283839322,0.18535190771033,0.171249045676458,0.00954478707782669
Tnnt2,0.171523395606286,0.172363499780434,0.168066101078797,0.165952403464964,0.16947634998262,0.00954478707782669
Pknox2,0.145228255731235,0.133404239124449,0.125676008932664,0.134494738112328,0.134700810475169,0.00954478707782669
Foxc2,0.134582388560719,0.0398840274606914,0.182178568645936,0.14361229842594,0.125064320773322,0.00954478707782669
Phf24,0.142380767054774,0.120427545684669,0.112159621413559,0.12435818023443,0.124831528596858,0.00954478707782669
Adra1b,0.135749839974697,0.128501707980076,0.102262092807625,0.130379102497859,0.124223185815065,0.00954478707782669
Ablim2,0.112706604794548,0.111945730582362,0.100968690550577,0.11318878379406,0.109702452430387,0.00954478707782669
Grip2,0.0679775693746029,0.0668819190145034,0.0576569803425199,0.0685681861904189,0.0652711637305113,0.00954478707782669
Cacna1g,0.0667763619582657,0.0549077052743645,0.0596435513254248,0.0734155857531406,0.0636858010777989,0.00954478707782669
Foxe1,0.0661462993861549,0.0953047266337321,0.0526482124556406,0.0306458749687625,0.0611862783610725,0.00954478707782669
Gbx2,0.0670595851674216,0.0509226623734898,0.0235764533720476,0.0376255540444372,0.0447960637393491,0.00954478707782669
Slc8a2,0.225699713117996,0.132282959657965,0.16396376261394,0.273296651006593,0.198810771599124,0.0102790014684288
Hsf4,0.185596107320863,0.179628885388664,0.141588786458969,0.146995943568169,0.163452430684166,0.0102790014684288
Igsf9b,0.160035404098102,0.121808650415192,0.128909296242561,0.165399774896036,0.144038281412973,0.0102790014684288
Zbtb16,0.103710025664103,0.11566160043667,0.106895859968851,0.111357321825621,0.109406201973811,0.0102790014684288
Nr5a2,0.0797279374331061,0.123894268064933,0.16527477935286,0.0681339275250037,0.109257728093976,0.0102790014684288
Tchh,0.0558525648108357,0.122156037693634,0.169119953322455,0.0767476123543838,0.105969042045327,0.0102790014684288
Atoh8,0.105229156182798,0.0941985961321071,0.0956943173704318,0.112113496960663,0.1018088916615,0.0102790014684288
Twist1,0.0668849914882972,0.0578785114329851,0.145048625266998,0.0773460254901866,0.0867895384196168,0.0102790014684288
Auts2,0.0584473413828296,0.0590013066273624,0.0648390079554461,0.0707249801077714,0.0632531590183524,0.0102790014684288
Irx3,0.0655689896046423,0.0628896584942614,0.0583597748206796,0.0639101733172484,0.0626821490592079,0.0102790014684288
Celf4,0.0731492328563612,0.0164178539646484,0.0665407602654901,0.04899749910278,0.0512763365473199,0.0102790014684288
Fbxl16,0.235287782200843,0.186210548523558,0.142642270002453,0.209511838160664,0.193413109721879,0.0110132158590308
Hlx,0.171442236343671,0.211530531013164,0.194889766487039,0.181285195459304,0.189786932325795,0.0110132158590308
