,0,TF
MA0155|INSM1,3.040763390114171e-05,INSM1
M00646|HNF1B,4.2602874963684875e-05,HNF1B
MS00392|Foxg1,4.449800522125672e-05,Foxg1
MS00251|BHLHE41,5.0188478728852636e-05,BHLHE41
MC00223|SMAD2/3,5.457508560337199e-05,SMAD2/3
MC00503|SMAD3,5.457508560337199e-05,SMAD3
MS00114|NFIB,5.698223684663341e-05,NFIB
MS00692|RXRB,5.9036584215912316e-05,RXRB
M01596|GLI3,6.698169874521845e-05,GLI3
MC00467|RXRA,6.820539738361572e-05,RXRA
MC00272|CEBPB,8.21956708857095e-05,CEBPB
M00483|ATF6,8.42500095422875e-05,ATF6
MC00121|Cebpb,9.735440869014729e-05,Cebpb
MS00812|ELF3,9.999914373569404e-05,ELF3
M00085|ZBTB6,0.00013115840776754643,ZBTB6
UP00095|Zfp691,0.00013792552787065832,Zfp691
MC00203|RFX3,0.00015412695594542688,RFX3
MS00846|ERF,0.0001647384141783468,ERF
MS00331|MAFK,0.00017331697052006703,MAFK
UP00199|SIX4,0.0001876959343471872,SIX4
MC00358|Ebf1,0.00018993132224080414,Ebf1
MS00040|SPIC,0.00019104191440860168,SPIC
M00749|SREBF1,0.0001944521209154643,SREBF1
MS00248|BHLHB3,0.00020888870486721414,BHLHB3
MC00398|FLI1,0.00021820985306193335,FLI1
MS00326|MAFF,0.00023661286761952603,MAFF
M01709|MAFA,0.0002800017044670198,MAFA
MC00471|Rxra,0.00030600931953019857,Rxra
MS00252|Bhlhb2,0.0003143365593146377,Bhlhb2
MC00140|Stat3,0.0003234282694314748,Stat3
MS00247|BHLHB2,0.00033628484377225916,BHLHB2
MS00105|MYBL2,0.00035986095979675215,MYBL2
MS00160|PROX1,0.0003852091501976354,PROX1
MC00122|Cebpa,0.0003869742575130591,Cebpa
M00678|ETV7,0.00046771418990550553,ETV7
MS00268|YY2,0.0005511692187356397,YY2
MS00669|Nr2f6,0.0005802750644386029,Nr2f6
MC00163|Creb1,0.0006113470469331824,Creb1
MC00289|HSF1,0.0006700135682247343,HSF1
MS00264|MESP1,0.0007491674952057284,MESP1
MS00299|CEBPD,0.0007707489582892865,CEBPD
MS00533|LBX2,0.0007875711344949985,LBX2
M01112|RBPJ,0.0007965806787117393,RBPJ
MS00067|IRF5,0.0008477848892330676,IRF5
MS00062|HSFY2,0.000853926123381061,HSFY2
UP00052|Osr2,0.0009164950628699001,Osr2
MS00638|ESRRG,0.0009429046283146246,ESRRG
UP00092|MYB,0.0010405051086557436,MYB
MC00135|Rela,0.0011670296206586397,Rela
M00222|TCF3,0.001182911130048479,TCF3
MC00386|BCL6,0.0013470477436534913,BCL6
MA0017|NR2F1,0.0013809560532876551,NR2F1
MC00512|Esrrb,0.0015258733422767988,Esrrb
MC00193|RELA,0.001545021464084052,RELA
MS00327|MAFG,0.0016939423026058925,MAFG
MS00253|CLOCK,0.001742731292616579,CLOCK
MC00352|Nr5a2,0.0018048929587049511,Nr5a2
MS00266|MLX,0.0019231416572204837,MLX
MC00132|TP73,0.0019859979450115245,TP73
MS00270|Mlx,0.002190131164496371,Mlx
UP00048|RARA,0.0024703289380975236,RARA
M01241|GTF2IRD1,0.002560850968689119,GTF2IRD1
MS00125|PAX6,0.0026509010287731694,PAX6
MS00338|NRL,0.002663791541494572,NRL
MC00453|STAT5A,0.002695248487509157,STAT5A
MS00490|ZSCAN4,0.0029231488303076538,ZSCAN4
MC00224|EPAS1,0.00309463114439221,EPAS1
MC00281|PBX3,0.0033482052884942007,PBX3
MS00087|Meis2,0.0036134203682087543,Meis2
MC00359|TP53,0.003633895774751813,TP53
MS00282|Srebf1,0.004173481522325607,Srebf1
MS00708|Rxrb,0.004389654584265,Rxrb
MS00700|Rarb,0.004490110731274069,Rarb
MS00073|IRF9,0.004699901912846561,IRF9
UP00027|Osr1,0.004807058354825962,Osr1
MS00731|ZNF713,0.004946155442495559,ZNF713
M00694|E4F1,0.0051542003910273575,E4F1
MC00265|Tcf3,0.005677011786642515,Tcf3
MS00662|NR3C2,0.0057610737222718806,NR3C2
MC00273|CEBPA,0.005800983398791963,CEBPA
MC00126|TCF12,0.0058698912141756186,TCF12
MS00295|Atf4,0.006040000860964697,Atf4
MS00088|Meis3,0.006203497383890001,Meis3
MC00170|PGR,0.006640911145017397,PGR
M01334|Nkx1-1,0.006837329935231146,Nkx1-1
MS00361|FOXG1,0.00701515969850228,FOXG1
M00141|IKZF1,0.0073999731739861525,IKZF1
M00993|TAL1,0.007618002004889251,TAL1
MS00300|CEBPE,0.008613467259212273,CEBPE
M00964|NR1I2,0.009396271673626565,NR1I2
UP00040|Irf5,0.010211704079408182,Irf5
MC00452|STAT5B,0.011016808224079662,STAT5B
MS00641|Esrra,0.011611464397463592,Esrra
MC00344|Hnf4a,0.011729927371016361,Hnf4a
M01195|TBX22,0.011853069237983918,TBX22
MC00154|Jund,0.012613662435518277,Jund
MS00296|BATF3,0.012692749986620778,BATF3
UP00018|Irf4,0.012848176571531523,Irf4
MS00168|PRDM1,0.012952153142242217,PRDM1
M00456|BPTF,0.013027464664673622,BPTF
MC00305|Sox6,0.01366052389704163,Sox6
MS00060|HSF4,0.01495631529496956,HSF4
M00041|ATF2::JUN,0.015379904274472913,ATF2::JUN
UP00086|IRF3,0.016567246949461947,IRF3
MS00829|ESRRA,0.017146610320091685,ESRRA
MC00280|NR4A1,0.017220568571253148,NR4A1
MC00524|Nr1d1,0.017285949853317724,Nr1d1
UP00020|ATF1,0.017478778787996054,ATF1
MC00368|Hsf1,0.018073819212220843,Hsf1
MC00468|AR,0.01890097791157182,AR
MC00448|Nr1h2,0.02003580253508558,Nr1h2
UP00033|Zfp410,0.020120437968790737,Zfp410
MC00348|STAT1,0.020317997099220646,STAT1
MS00709|THRA,0.02091333925078289,THRA
MC00341|Olig2,0.020928305529834754,Olig2
MS00371|FOXK1,0.020947358143508715,FOXK1
MS00401|ZNF306,0.021480173404803148,ZNF306
M01132|SF1,0.022257948351737975,SF1
MS00705|Rarg,0.02225912841073451,Rarg
MC00354|Neurod1,0.030279952727806307,Neurod1
M00706|GTF2I,0.030880842206273778,GTF2I
MC00370|Npas4,0.03160992877173889,Npas4
MS00218|T,0.03277243366695698,T
MS00290|ZBED1,0.033970897847702616,ZBED1
UP00081|Mybl1,0.0343363940872799,Mybl1
MA0073|RREB1,0.03580289091839736,RREB1
M01282|PPARA,0.03631403418803282,PPARA
MS00302|CEBPG,0.03703428952420453,CEBPG
M01123|NANOG,0.040506466623379964,NANOG
MC00357|Crx,0.045302649999032545,Crx
MS00170|Rfx2,0.04609105858763738,Rfx2
MS00070|IRF7,0.047154263239472805,IRF7
MA0130|ZNF354C,0.04736392150882637,ZNF354C
UP00045|MAFB,0.04860257328004738,MAFB
M00155|NR2F2,0.04910473551786473,NR2F2
MS00726|PRDM4,0.050008542377644405,PRDM4
UP00195|SIX3,0.05127418037556261,SIX3
MS00468|ZNF75A,0.053049965168364466,ZNF75A
UP00159|SIX2,0.05332230581892422,SIX2
MS00343|FOXB1,0.05459411898489461,FOXB1
MS00191|TBR1,0.05575657358528505,TBR1
MS00085|MEIS3,0.06140245332220753,MEIS3
MC00205|Stat5a,0.061977854756398824,Stat5a
MS00202|TBX20,0.06234870775993226,TBX20
MC00414|Atoh1,0.0627150496909984,Atoh1
MS00287|TFAP4,0.06336071581059233,TFAP4
