GENE,cluster1,cluster2,cluster3,cluster4
CRELD2,0.9998119094280475,1.5875616880007426e-08,0.0001880746963356061,0.0
CRHBP,1.1776176633591862e-52,0.0023253958410948024,0.9976746041589051,0.0
CRIP1,5.899133939770007e-50,0.016833302391362822,0.983166697608638,0.0
CRIP2,1.1221592543878679e-80,0.5941020331977619,0.4058979668022368,0.0
CRTAC1,0.0,1.0,1.7140564418417038e-18,0.0
CRX,1.8663874629955184e-79,0.004685408378410556,0.9953145916215896,0.0
CRYM,2.2803724667277553e-26,0.000306508588674537,0.9996934914113252,0.0
CST1,2.019995364892074e-24,0.0038224684246313226,0.9961775315753686,0.0
CST2,4.337576169155656e-09,0.00019124117411423142,0.9998087544883092,0.0
CST4,3.463172924877063e-36,0.0003462621867579101,0.9996537378132421,0.0
CST5,2.219657524821458e-119,0.017408848365556003,0.9825911516344428,0.0
CTCFL,0.0,1.0,5.567050045161836e-27,0.0
CTF1,0.9999944932088695,2.2746240757752226e-10,5.506563668325808e-06,0.0
CTNNA2,2.7625126516651668e-189,0.0038299812489509576,0.9961700187510483,0.0
CTSF,1.1300536688062904e-27,0.00030692885084538795,0.999693071149155,0.0
CTSK,0.9999532041169927,2.8373485495550966e-09,4.679304565874767e-05,0.0
CXCL12,3.197204424467962e-113,0.13643738601118338,0.863562613988815,0.0
CXCL16,2.920382737486895e-254,0.9999477249457772,5.227505422453997e-05,0.0
CXCL17,1.196041053210023e-103,0.006367400488109871,0.9936325995118889,0.0
CXCR4,0.0,0.9999733692610323,2.6630738967047104e-05,0.0
CYP26A1,0.0,0.9999999999998224,1.7675453693032895e-13,0.0
CYP2B6,9.788739243339117e-30,8.093254088329947e-05,0.9999190674591176,0.0
CYP7B1,3.6845049863986334e-08,3.617247759421124e-05,0.9999637906773557,0.0
CYTL1,2.608685109644203e-187,0.9970817415792754,0.002918258420723871,0.0
DACT2,7.536754608626921e-57,8.894048775774869e-05,0.9999110595122425,0.0
DAW1,4.1520519590852054e-24,6.650761791464676e-05,0.999933492382086,0.0
DCDC1,2.698463975197179e-33,0.00031977065605097346,0.9996802293439492,0.0
DCLK3,1.734724350773855e-58,0.0019079055373383597,0.9980920944626612,0.0
DEFA6,1.3231748669734843e-130,0.13736644490187774,0.8626335550981237,0.0
DENND2D,1.0758975473632782e-87,0.016434358367622092,0.983565641632379,0.0
DENND6B,0.0007700499316490051,0.00010482386911366427,0.9991251261992373,0.0
DEPDC7,7.333655264711913e-09,3.242401744955781e-05,0.9999675686488944,0.0
DGKB,0.999994263501279,3.1327519291085215e-10,5.736185445937587e-06,0.0
DGKG,9.595708025252092e-261,0.8255020080586403,0.1744979919413597,0.0
DGKK,0.0,1.0,7.46882563755282e-104,0.0
