,Peak0,Peak1,Peak2,Peak3,Peak4,Peak5,Peak6,Peak7,Peak8,Peak9,Peak10,Peak11,Peak12,Peak13
CDK5RAP1,0.0169958587727007,0.209078382402448,0.0586387332213514,0.252227900826391,0.0621229617752383,0.0111621822749559,0.129243288528998,0.0661003520442793,0.139068776080685,0.170280343776007,0.0789590275770865,0.0518447557192994,0.0759323644907353,0.0494767643515158
SNTA1,0,0.00985578235454486,0,0,0,0,0,0,0,0,0,0.0393414581895301,0,0
CBFA2T2,0.0155789387518072,0.0572064893620881,0,0.0824075077923662,0.0410332469706667,0.0507108217955954,0.0974613633627312,0.0427868866806405,0.0247275864088994,0,0.0516715448000861,0.0562586637152089,0,0
NECAB3,0.00257448702643084,0.00897877098757878,0,0.0425094790258975,0,0,0,0.0195481321415147,0,0,0.0137707975780637,0,0,0
ACTL10,0,0,0,0.0462457538473925,0,0.0119631974936464,0,0,0.0273026517047726,0.0861670737044767,0,0,0,0
E2F1,0,0.0105039923922898,0,0,0,0,0,0,0,0,0,0,0,0
PXMP4,0,0.00755986076697958,0,0,0,0,0,0,0.0700395316543729,0,0,0.07367843017864,0,0
ZNF341,0.00573534761110721,0.0100137337857955,0,0,0,0.00913729076133895,0.0305202506847924,0,0,0,0,0,0,0.0109130510989376
RP4-553F4.6,0.00120719992313855,0,0,0,0,0,0,0.0269784983388196,0,0,0,0,0,0
CHMP4B,0.522285968659243,0.18455527022976,0.768371640817435,0.200643452754976,0.204920439471853,0.65783988437932,0.152042132780549,0.22544436446753,0.085928196680876,0.211681093417904,0.982411270907142,0.756434956000762,0.230700693061282,1.01211372633041
RP5-1125A11.1,0.0146213182850343,0,0,0,0,0,0,0,0.0266320293199751,0,0,0,0,0
RALY,0.353292235308799,0.26072551936613,0.569629804294275,0.288144325048838,0.345259661232041,0.402196219807003,0.212479633305949,0.340325998029694,0.12766589444043,0.409661799558951,0.337404850472501,0.526668040599741,0.156069508653706,0.75616680710493
EIF2S2,0.370582431213871,0.429443109634866,0.682291110418921,0.296992571235351,0.51123560456656,0.506303326764247,0.574302626469622,0.596358413681032,0.363737503474634,0.547241872136683,1.38683340686162,1.07209653574595,0.78856534834649,0.509215820654005
ASIP,0.00527081724095333,0,0,0,0,0,0,0,0,0,0,0.0588295309039234,0,0
AHCY,0.0120320279483105,0.0490123751426957,0.0648690531278106,0,0.0482759725559715,0.059529373614015,0.0943312373674007,0.0198657976067422,0,0.0861670737044767,0.248141428355558,0.100512289715996,0,0.0220218483581423
ITCH,0.0207986321003386,0,0.0156704114049416,0.0777780097238397,0,0.0112349174529967,0.0227634339587722,0.022913976277816,0,0,0,0.0753916419576317,0,0.0516901706837
DYNLRB1,0.501962605369837,0.371559278829607,0.405849244493795,0.472099235816176,0.479857988236735,0.471758383306202,0.234148814835799,0.348237826262432,0.373465115946389,0.153530378461634,0.331628867655525,0.470088030498491,0.255804807781555,0.58673423553333
MAP1LC3A,0.0455492737421663,0.0312228968150125,0.085735366093872,0.0625972626526521,0.0957141455024736,0.020387977048601,0.0225729133898676,0.0780510968159162,0.0240280683192618,0.0859516215563059,0.0782462377726196,0.0212965764967841,0,0.0470639092890489
PIGU,0.00233551279599993,0.0286773581961862,0.0137284312012162,0.0384277196273506,0.0886896139057309,0.0112532767400154,0.0421697462282455,0,0.0503307335393448,0.159138580073432,0,0.0340904668738454,0,0.0101359682479054
NCOA6,0.0292511040192406,0,0.0209033126807368,0.0222484439090733,0,0.0378568617556438,0.0240110556651245,0.0206559727603712,0,0,0,0.0192027005319271,0,0
TP53INP2,0.0333486861369764,0,0.0209033126807368,0,0,0.0112349174529967,0.0137022525679604,0,0,0,0,0,0,0.0117017788103996
GGT7,0.00254217307831814,0.0208949226616263,0.0159441823452133,0,0,0,0,0,0.051159402826564,0,0,0,0,0
ACSS2,0.0285061930727031,0,0.0209033126807368,0,0,0.0233704512011859,0,0.022913976277816,0,0,0,0,0,0.0101359682479054
GSS,0.0417122440381006,0.0308777201375993,0.0706948947237285,0.0457573106806179,0.0554673857862076,0.0677518122530962,0,0.0327819739656039,0,0,0.0217122408066976,0.0943480482102471,0,0.0432724659190569
MYH7B,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187749343273873
